"","state","county","tract","healthcare_adjusted","healthcare_adjusted_percent"
"1","37","063","000600",0.169331395348837,16.93
"2","37","063","001304",0.238639695104075,23.86
"3","37","063","001710",0.141193297915815,14.12
"4","37","063","001711",0.251063829787234,25.11
"5","37","063","001801",0.212926433047111,21.29
"6","37","063","001900",0.0267089180624717,2.67
"7","37","063","002007",0.0238928939237899,2.39
"8","37","063","000101",0.128888888888889,12.89
"9","37","063","002018",0.0550745801606342,5.51
"10","37","063","001601",0.0672882672882673,6.73
"11","37","063","000900",0.287719298245614,28.77
"12","37","063","000402",0.0641848523748395,6.42
"13","37","063","000102",0.259593679458239,25.96
"14","37","063","001802",0.29011205516562,29.01
"15","37","063","002015",0.245819686260989,24.58
"16","37","063","000500",0.159311562224184,15.93
"17","37","063","001100",0.224002513352183,22.4
"18","37","063","001400",0.184397163120567,18.44
"19","37","063","001502",0.153677462887989,15.37
"20","37","063","001708",0.13860819828408,13.86
"21","37","063","002009",0.160134600158353,16.01
"22","37","063","000200",0.347292850732875,34.73
"23","37","063","001604",0.0192759755524213,1.93
"24","37","063","001706",0.0967863183612103,9.68
"25","37","063","001707",0.0477064220183486,4.77
"26","37","063","002016",0.297699849170437,29.77
"27","37","063","001001",0.307069616837561,30.71
"28","37","063","001002",0.285786545270612,28.58
"29","37","063","001301",0.23082489146165,23.08
"30","37","063","001303",0.0800501882057716,8.01
"31","37","063","001503",0.0115807759119861,1.16
"32","37","063","001603",0.0534485283350417,5.34
"33","37","063","001705",0.113663366336634,11.37
"34","37","063","000401",0.0693103448275862,6.93
"35","37","063","000700",0.0616512764801738,6.17
"36","37","063","001709",0.156662837449742,15.67
"37","37","063","002008",0.0417073965461062,4.17
"38","37","063","002013",0.0701004488138491,7.01
"39","37","063","000301",0.120117597648047,12.01
"40","37","063","000302",0.107357947106572,10.74
"41","37","063","001501",0.0174195453203425,1.74
"42","37","063","002017",0.0201044386422977,2.01
"43","37","063","002100",0.0264130434782609,2.64
"44","37","063","002023",0.0526315789473684,5.26
"45","37","063","002024",0.0242100298695174,2.42
"46","37","063","002025",0.0796027275422473,7.96
"47","37","063","002026",0.194627192982456,19.46
"48","37","063","002027",0.110438156525031,11.04
"49","37","063","002028",0.0905793549651995,9.06
"50","37","063","002200",0.112864658058345,11.29
"51","37","063","002300",0.104102878138396,10.41
"52","37","063","980100",NA,NA
"53","37","063","002021",0.044340723453909,4.43
"54","37","063","001806",0.095604099244876,9.56
"55","37","063","002020",0.0298186702484889,2.98
"56","37","063","001807",0.10930576070901,10.93
"57","37","063","001808",0.0482367637167291,4.82
"58","37","063","001809",0.0466462924239987,4.66
"59","37","063","002019",0.0525276461295419,5.25
"60","37","063","002022",0.0857024278896037,8.57
